item_id,source_idea_id,base_idea_id,round_id,discipline,variant,variant_group,source_text,variant_text,generation_model,prompt_version,expected_quality_direction,is_style_only,is_substance_changed
R1_IDEA_001::C3_Substance_Enriched,R1_IDEA_001,IDEA_001,1,Unknown,C3_Substance_Enriched,C_substance_and_logic,Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs.,"Node out-of-distribution detection on graphs is underexplored because image-based methods assume independent inputs and ignore node dependence and heterophily. This work proposes a decoupled graph energy-based model that explicitly addresses node dependence and heterophily to improve energy-based out-of-distribution detection at the node level on heterophilic graphs. A plausible hypothesis is that explicitly modeling the decoupling of homophilic and heterophilic edges could improve separation between in-distribution and out-of-distribution node energies. Validation might involve testing on synthetic and real-world heterophilic graphs with controlled out-of-distribution node injections, while boundary conditions could include graphs with extreme heterophily ratios or very low edge density.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,up,False,True
R1_IDEA_002::A1_Identity,R1_IDEA_002,IDEA_002,1,Unknown,A1_Identity,A_baseline_expression_control,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.","A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,False,False
R1_IDEA_002::A2_Paraphrase_Only,R1_IDEA_002,IDEA_002,1,Unknown,A2_Paraphrase_Only,A_baseline_expression_control,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.","Using improved off-policy learning, a machine learning method trains diffusion path samplers to sample transition pathways between meta-stable molecular states. This approach avoids dependence on predefined collective variables, seeking to address the computational infeasibility of unbiased molecular dynamics and thereby enable rare-event exploration in complex systems relevant to drug discovery and material design.",DeepSeek-V3.2,v12_a2_low_variance_50,same,True,False
R1_IDEA_002::A3_Plain_Core,R1_IDEA_002,IDEA_002,1,Unknown,A3_Plain_Core,A_baseline_expression_control,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.","A machine learning method trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without using predefined collective variables. This aims to address the computational infeasibility of unbiased molecular dynamics for rare-event exploration in complex systems, with applications in drug discovery and material design.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,True,False
R1_IDEA_002::B1_Verbose_Elaborate,R1_IDEA_002,IDEA_002,1,Unknown,B1_Verbose_Elaborate,B_rhetoric_and_framing,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.","In the context of molecular simulation, a significant challenge is the computational infeasibility of unbiased molecular dynamics for exploring rare events between meta-stable states. More specifically, to address this, a machine learning approach trains diffusion path samplers via improved off-policy learning, thereby sampling transition pathways without relying on predefined collective variables. In practical terms, this methodology aims to enable rare-event exploration in complex molecular systems, which is relevant for applications such as drug discovery and material design.",DeepSeek-V3.2,v9_target5_50_highpass,same,True,False
R1_IDEA_002::B2_Grand_Narrative,R1_IDEA_002,IDEA_002,1,Unknown,B2_Grand_Narrative,B_rhetoric_and_framing,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.","This work presents a machine learning approach that could contribute to broader challenges in computational molecular science. By training diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without predefined collective variables, it aims to overcome the computational infeasibility of unbiased molecular dynamics. This may inform long-term research directions for rare-event exploration in complex systems, potentially supporting advances in foundational methods for drug discovery and material design.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,True,False
R1_IDEA_002::B3_Over_Confident,R1_IDEA_002,IDEA_002,1,Unknown,B3_Over_Confident,B_rhetoric_and_framing,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.",A machine learning approach clearly trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables. This firmly aims to overcome the computational infeasibility of unbiased molecular dynamics and undoubtedly enables rare-event exploration in complex systems for drug discovery and material design.,DeepSeek-V3.2,v11_b3_c2_candidate_select_50,same,True,False
R1_IDEA_002::B4_Novelty,R1_IDEA_002,IDEA_002,1,Unknown,B4_Novelty,B_rhetoric_and_framing,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.","Offering a novel perspective, this work introduces a machine learning approach that trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states. This fresh framing avoids reliance on predefined collective variables, addressing the computational infeasibility of unbiased molecular dynamics from an underexplored angle. The method aims to enable rare-event exploration in complex systems for drug discovery and material design.",DeepSeek-V3.2,v9_target5_50_highpass,same,True,False
R1_IDEA_002::B5_Application_Impact,R1_IDEA_002,IDEA_002,1,Unknown,B5_Application_Impact,B_rhetoric_and_framing,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.","A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics. This could inform practical workflows for rare-event exploration in complex systems, which may be relevant to downstream decision-making in drug discovery. Furthermore, the method could guide tool development for material design applications.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,True,False
R1_IDEA_002::C1_Hollow_Shell,R1_IDEA_002,IDEA_002,1,Unknown,C1_Hollow_Shell,C_substance_and_logic,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.","A computational approach uses a machine learning method to address sampling challenges in molecular systems. It focuses on pathways between stable states without requiring predefined descriptors, aiming to tackle difficulties in simulating rare events. This research direction could support exploration in complex systems for applications like drug discovery and material design.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,down,False,True
R1_IDEA_002::C2_Logic_Flawed,R1_IDEA_002,IDEA_002,1,Unknown,C2_Logic_Flawed,C_substance_and_logic,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.","A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics. Therefore, this suggests broader effectiveness for enabling rare-event exploration across related settings in complex systems for drug discovery and material design.",DeepSeek-V3.2,v11_b3_c2_candidate_select_50,down,False,True
R1_IDEA_002::C3_Substance_Enriched,R1_IDEA_002,IDEA_002,1,Unknown,C3_Substance_Enriched,C_substance_and_logic,"A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics and enable rare-event exploration in complex systems for drug discovery and material design.","A machine learning approach trains diffusion path samplers via improved off-policy learning to sample transition pathways between meta-stable molecular states without relying on predefined collective variables, aiming to overcome the computational infeasibility of unbiased molecular dynamics. One hypothesis is that the off-policy learning component could be validated by comparing sampled pathways against those from enhanced sampling methods in test systems. Potential boundary conditions might include the method's performance with high-dimensional conformational changes or its sensitivity to the choice of reward function in the policy improvement step. This enriched framework aims to enable rare-event exploration in complex systems for drug discovery and material design.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,up,False,True
R1_IDEA_003::A1_Identity,R1_IDEA_003,IDEA_003,1,Unknown,A1_Identity,A_baseline_expression_control,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.","Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,False,False
R1_IDEA_003::A2_Paraphrase_Only,R1_IDEA_003,IDEA_003,1,Unknown,A2_Paraphrase_Only,A_baseline_expression_control,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.","Existing methods for incorporating radiologist eye gaze into large vision-language models for chest X-ray analysis usually treat gaze as static heatmaps or textual descriptions, losing the temporal order of fixations. This work introduces an approach that encodes eye-tracking data as video sequences, thereby preserving both spatial attention patterns and temporal scanning sequences to improve model reasoning and clinical interpretability.",DeepSeek-V3.2,v12_a2_low_variance_50,same,True,False
R1_IDEA_003::A3_Plain_Core,R1_IDEA_003,IDEA_003,1,Unknown,A3_Plain_Core,A_baseline_expression_control,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.","Current methods for integrating radiologist eye gaze into large vision-language models for chest X-ray analysis represent gaze as static heatmaps or text, which removes the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to retain both spatial attention and temporal scanning order, with the aim of enhancing model reasoning and clinical interpretability.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,True,False
R1_IDEA_003::B1_Verbose_Elaborate,R1_IDEA_003,IDEA_003,1,Unknown,B1_Verbose_Elaborate,B_rhetoric_and_framing,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.","In the context of chest X-ray analysis, current approaches to integrating radiologist eye gaze into large vision-language models typically represent gaze information, more specifically, as static heatmaps or as textual descriptions. This practice, in practical terms, discards the temporal sequence of fixations that occurs during visual scanning. To address this limitation, the present work proposes an alternative method, namely encoding eye-tracking data as video sequences. This approach is designed to capture both the spatial distribution of attention and the temporal order of scanning, thereby aiming to enhance the reasoning capabilities of the model and its clinical interpretability.",DeepSeek-V3.2,v9_target5_50_highpass,same,True,False
R1_IDEA_003::B2_Grand_Narrative,R1_IDEA_003,IDEA_003,1,Unknown,B2_Grand_Narrative,B_rhetoric_and_framing,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.","Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work, which could contribute to broader efforts in building more cognitively informed AI systems, proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order. This direction may inform long-term research on how to better integrate human perceptual processes into medical image analysis models, potentially enhancing model reasoning and clinical interpretability.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,True,False
R1_IDEA_003::B3_Over_Confident,R1_IDEA_003,IDEA_003,1,Unknown,B3_Over_Confident,B_rhetoric_and_framing,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.","Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, clearly discarding the crucial temporal sequence of fixations. This work firmly proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, which directly addresses this limitation and enhances model reasoning and clinical interpretability.",DeepSeek-V3.2,v11_b3_c2_candidate_select_50,same,True,False
R1_IDEA_003::B4_Novelty,R1_IDEA_003,IDEA_003,1,Unknown,B4_Novelty,B_rhetoric_and_framing,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.","Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work offers a novel perspective by proposing to encode eye-tracking data as video sequences. This fresh framing captures both spatial attention and temporal scanning order from an underexplored angle, aiming to enhance model reasoning and clinical interpretability.",DeepSeek-V3.2,v9_target5_50_highpass,same,True,False
R1_IDEA_003::B5_Application_Impact,R1_IDEA_003,IDEA_003,1,Unknown,B5_Application_Impact,B_rhetoric_and_framing,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.","Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, which could inform the development of more interpretable diagnostic support systems. Enhancing model reasoning and clinical interpretability in this way may be relevant to practical clinical workflows where understanding model decision paths is important.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,True,False
R1_IDEA_003::C1_Hollow_Shell,R1_IDEA_003,IDEA_003,1,Unknown,C1_Hollow_Shell,C_substance_and_logic,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.","In chest X-ray analysis, a common research approach for incorporating expert visual attention into AI models uses simplified representations that lose sequential information. This work introduces a different method that processes the attention data in a way that preserves its order and layout. The goal of this system is to improve the model's performance and make it more understandable in a clinical context.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,down,False,True
R1_IDEA_003::C2_Logic_Flawed,R1_IDEA_003,IDEA_003,1,Unknown,C2_Logic_Flawed,C_substance_and_logic,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.","Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability. Therefore, this method suggests broader effectiveness for integrating temporal human behavior data across related medical imaging tasks.",DeepSeek-V3.2,v11_b3_c2_candidate_select_50,down,False,True
R1_IDEA_003::C3_Substance_Enriched,R1_IDEA_003,IDEA_003,1,Unknown,C3_Substance_Enriched,C_substance_and_logic,"Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order, enhancing model reasoning and clinical interpretability.","Current approaches to integrating radiologist eye gaze into large vision-language models for chest X-ray analysis typically represent gaze as static heatmaps or text, discarding the temporal sequence of fixations. This work proposes encoding eye-tracking data as video sequences to capture both spatial attention and temporal scanning order. A plausible hypothesis is that this temporal encoding could allow the model to learn scanning heuristics, such as whether radiologists perform systematic searches or recurrent checks of specific regions. Validation of this approach might involve testing if models trained with video-encoded gaze generate explanations that better align with the sequence of human visual reasoning, potentially enhancing model reasoning and clinical interpretability within the boundary condition of chest X-ray analysis.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,up,False,True
R1_IDEA_004::A1_Identity,R1_IDEA_004,IDEA_004,1,Unknown,A1_Identity,A_baseline_expression_control,"This paper proposes a primal-dual direct preference optimization method for constrained alignment of large language models. It aims to maximize output reward while enforcing safety constraints without training separate reward and cost models or requiring prior knowledge of the optimal Lagrange multiplier, thereby reducing computational overhead.","This paper proposes a primal-dual direct preference optimization method for constrained alignment of large language models. It aims to maximize output reward while enforcing safety constraints without training separate reward and cost models or requiring prior knowledge of the optimal Lagrange multiplier, thereby reducing computational overhead.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,False,False
R1_IDEA_004::A2_Paraphrase_Only,R1_IDEA_004,IDEA_004,1,Unknown,A2_Paraphrase_Only,A_baseline_expression_control,"This paper proposes a primal-dual direct preference optimization method for constrained alignment of large language models. It aims to maximize output reward while enforcing safety constraints without training separate reward and cost models or requiring prior knowledge of the optimal Lagrange multiplier, thereby reducing computational overhead.","This work introduces a primal-dual direct preference optimization approach for aligning large language models under constraints. The method seeks to maximize reward for outputs while satisfying safety constraints, eliminating the need to train separate reward and cost models or to know the optimal Lagrange multiplier beforehand, which lowers computational demands.",DeepSeek-V3.2,v12_a2_low_variance_50,same,True,False
R1_IDEA_004::A3_Plain_Core,R1_IDEA_004,IDEA_004,1,Unknown,A3_Plain_Core,A_baseline_expression_control,"This paper proposes a primal-dual direct preference optimization method for constrained alignment of large language models. It aims to maximize output reward while enforcing safety constraints without training separate reward and cost models or requiring prior knowledge of the optimal Lagrange multiplier, thereby reducing computational overhead.","A primal-dual direct preference optimization method is proposed for constrained alignment of large language models. The method maximizes output reward while enforcing safety constraints. It does not require training separate reward and cost models or prior knowledge of the optimal Lagrange multiplier, reducing computational overhead.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,True,False
R1_IDEA_004::B1_Verbose_Elaborate,R1_IDEA_004,IDEA_004,1,Unknown,B1_Verbose_Elaborate,B_rhetoric_and_framing,"This paper proposes a primal-dual direct preference optimization method for constrained alignment of large language models. It aims to maximize output reward while enforcing safety constraints without training separate reward and cost models or requiring prior knowledge of the optimal Lagrange multiplier, thereby reducing computational overhead.","This paper proposes, more specifically, a primal-dual direct preference optimization method designed for the constrained alignment of large language models. In this context, the aim is to maximize the reward associated with model outputs while simultaneously enforcing necessary safety constraints. In practical terms, the approach achieves this without requiring the training of separate reward and cost models, and it operates without needing prior knowledge of the optimal Lagrange multiplier, thereby reducing the associated computational overhead.",DeepSeek-V3.2,v9_target5_50_highpass,same,True,False
R1_IDEA_004::B2_Grand_Narrative,R1_IDEA_004,IDEA_004,1,Unknown,B2_Grand_Narrative,B_rhetoric_and_framing,"This paper proposes a primal-dual direct preference optimization method for constrained alignment of large language models. It aims to maximize output reward while enforcing safety constraints without training separate reward and cost models or requiring prior knowledge of the optimal Lagrange multiplier, thereby reducing computational overhead.","This paper proposes a primal-dual direct preference optimization method for constrained alignment of large language models. It aims to maximize output reward while enforcing safety constraints without training separate reward and cost models or requiring prior knowledge of the optimal Lagrange multiplier, thereby reducing computational overhead. This work could contribute to broader research directions in efficient and safe AI alignment, potentially informing long-term methodologies for balancing performance objectives with critical safety requirements in autonomous systems.",DeepSeek-V3.2,v8_high_passrate_50_balanced_judge,same,True,False
